HIP,RAdeg,DEdeg,Vmag,Plx,e_Plx,pmRA,pmDE,e_pmRA,e_pmDE,B-V,e_B-V,V-I,BTmag,VTmag,Hpmag,SpType,VarFlag,MultFlag,distance_pc,Abs_Vmag,logL_solar,Teff_K
69039,182.920801,24.086303,10.54,19.99,0.57,86.47,10.85,1.99,1.46,0.327,0.006,0.4,10.832,10.571,10.512,F9 V,,,50.0,7.044,-0.8856,7294.0
69040,335.814774,43.327678,10.08,6.64,0.52,-5.58,37.18,0.53,0.52,0.248,0.003,0.304,10.319,10.099,10.052,,,V,150.6,4.191,0.2556,7809.0
69041,136.670092,27.748564,5.05,55.98,1.42,12.64,15.17,1.08,1.34,0.12,0.02,0.104,5.153,5.051,5.041,A0 V,,,17.9,3.79,0.416,8839.0
69042,252.325385,-14.425497,5.66,4.34,0.79,-65.65,-118.43,1.25,0.3,0.623,0.023,0.636,6.158,5.692,5.603,G7 V,,,230.4,-1.153,2.3932,5879.0
69043,187.950891,-4.840869,7.05,25.14,0.86,-58.86,66.35,2.31,2.02,1.344,0.015,1.53,8.166,7.175,6.923,M3 V,,,39.8,4.052,0.3112,4044.0
69044,343.313971,83.417375,8.02,8.68,1.04,-66.03,-7.67,1.4,1.44,1.505,0.005,1.704,9.326,8.16,7.86,,,,115.2,2.713,0.8468,3786.0
69045,112.006078,7.245208,4.29,8.74,0.36,10.31,69.08,2.17,0.49,1.283,0.005,1.346,5.341,4.401,4.166,M0 V,,,114.4,-1.002,2.3328,4152.0
69046,41.630215,-29.823761,8.42,11.34,1.21,26.07,-59.25,1.91,1.39,1.642,0.001,1.806,9.813,8.578,8.261,,D,,88.2,3.693,0.4548,3592.0
69047,210.793757,-16.884229,4.83,12.36,0.82,-4.54,6.13,1.44,1.44,1.596,0.013,1.781,6.215,4.966,4.683,M1 V,,,80.9,0.29,1.816,3655.0
69048,258.10751,8.277936,8.67,14.66,1.16,83.13,24.08,2.09,0.3,1.749,0.02,1.889,10.143,8.836,8.491,,,,68.2,4.501,0.1316,3454.0
69049,263.872969,-45.007591,9.61,3.27,0.78,367.1778803066849,-164.3780781623494,1.27,1.52,1.172,0.011,1.179,10.597,9.695,9.49,M7 V,,,305.8,2.183,1.0588,4364.0
69050,239.907711,55.317997,4.18,12.34,1.49,17.32,-91.19,0.3,0.32,1.46,0.013,1.566,5.417,4.315,4.034,M0 V,,,81.0,-0.363,2.0772,3855.0
69051,56.743577,-6.479923,6.88,1.53,1.24,-6.04,-72.29,1.42,1.85,1.338,0.023,1.387,8.015,7.002,6.742,,,,653.6,-2.197,2.8108,4055.0
69052,243.7625,10.985785,5.78,8.36,0.77,62.38,1.76,0.89,1.73,1.527,0.003,1.687,7.092,5.92,5.626,M2 V,,,119.6,0.391,1.7756,3753.0
69053,267.443624,-7.471962,10.61,4.9,0.2,-39.99,59.06,0.79,1.74,0.617,0.006,0.718,11.143,10.663,10.554,,,O,204.1,4.061,0.3076,5902.0
69054,97.918371,-20.404291,8.62,32.89,1.11,-30.09,4.59,1.3,1.76,0.061,0.03,0.121,8.67,8.637,8.611,A7 V,,,30.4,6.205,-0.55,9423.0
69055,114.45807,19.080456,7.86,7.21,1.05,-2.05,-13.93,2.81,0.3,0.078,0.022,0.091,7.897,7.861,7.843,,,,138.7,2.15,1.072,9246.0
69056,41.113874,64.222559,7.77,9.51,2.11,19.06,-15.18,1.25,1.33,1.567,0.024,1.659,9.092,7.924,7.626,M3 V,,X,105.2,2.661,0.8676,3695.0
69057,350.635662,-76.495149,12.5,26.02,0.2,25.1,8.42,2.42,0.72,1.492,0.012,1.615,13.726,12.636,12.347,M7 III,C,O,38.4,9.577,-1.8988,3806.0
69058,318.524921,47.501535,6.64,2.79,1.51,29.7,-74.1,1.34,0.87,1.495,0.013,1.61,7.928,6.771,6.487,,D,,358.4,-1.132,2.3848,3801.0
69059,223.594568,-41.894458,7.08,16.39,1.27,-63.97,-44.81,1.38,1.59,0.523,0.01,0.551,7.536,7.129,7.043,F7 V,,,61.0,3.153,0.6708,6286.0
69060,172.741518,73.620951,10.52,3.14,0.98,-12.85,24.47,0.83,0.3,1.497,0.013,1.607,11.806,10.647,10.368,M2 V,,,318.5,3.005,0.73,3798.0
69061,305.495877,73.974629,6.52,0.1,0.68,-353.60610496521207,-14.293852278419733,0.93,1.1,0.361,0.003,0.398,6.825,6.547,6.497,,,,10000.0,,,7095.0
69062,236.729394,47.945568,8.39,4.08,0.24,-1.14,74.99,1.29,1.03,0.184,0.014,0.156,8.559,8.399,8.392,A9 V,,,245.1,1.443,1.3548,8289.0
69063,278.467252,-39.672567,9.73,16.86,1.39,-63.34,12.57,0.88,1.79,0.799,0.005,0.757,10.437,9.796,9.637,,,,59.3,5.864,-0.4136,5284.0
69064,81.900118,27.848394,10.96,36.84,0.24,-5.06,-52.53,0.55,1.71,0.442,0.031,0.476,11.348,11.013,10.913,F6 V,,,27.1,8.792,-1.5848,6664.0
69065,120.458968,-77.914446,9.06,4.34,1.4,-66.76,6.8,0.52,0.41,1.464,0.015,1.604,10.319,9.204,8.912,M8 V,,,230.4,2.247,1.0332,3848.0
69066,309.129236,-47.309921,6.45,32.9,0.68,9.18,59.34,0.78,1.17,0.737,0.007,0.753,7.07,6.509,6.381,G2 V,,,30.4,4.036,0.3176,5478.0
69067,268.451089,21.019547,6.42,25.17,0.65,-14.6,68.24,0.34,1.81,1.738,0.003,1.912,7.919,6.585,6.251,M8 V,,,39.7,3.424,0.5624,3467.0
69068,168.147153,36.563198,5.34,1.7,0.63,-10.58,17.87,1.45,1.23,0.222,0.008,0.259,5.525,5.367,5.313,F0 V,,X,588.2,-3.508,3.3352,7997.0
69069,218.47811,8.388416,8.45,16.57,0.78,115.33,4.51,0.31,1.29,0.916,0.004,1.064,9.26,8.54,8.358,,,,60.4,4.547,0.1132,4954.0
69070,304.054607,-6.574839,6.39,11.9,0.24,-28.93,-3.5,0.53,1.2,1.417,0.015,1.529,7.639,6.504,6.243,,S,C,84.0,1.768,1.2248,3923.0
69071,36.086522,44.48876,6.77,6.19,0.81,10.78,-64.58,1.25,2.43,0.574,0.004,0.631,7.269,6.823,6.715,F8 V,,,161.6,0.728,1.6408,6071.0
69072,295.002305,-16.849526,9.36,9.25,0.47,1.76,-71.35,0.65,2.37,0.923,0.017,1.009,10.156,9.443,9.279,,,,108.1,4.191,0.2556,4936.0
69073,205.261703,-55.50375,8.74,5.62,1.01,34.65,-50.62,1.01,1.2,1.516,0.003,1.629,10.015,8.892,8.589,M4 V,R,,177.9,2.489,0.9364,3770.0
69074,249.906401,37.739639,4.58,19.48,0.42,52.9,30.99,2.14,0.42,1.409,0.024,1.583,5.732,4.699,4.428,,,,51.3,1.028,1.5208,3936.0
69075,234.171143,-62.711843,6.83,1.6,1.11,-50.56,-12.64,2.25,1.61,0.321,0.004,0.368,7.106,6.854,6.809,,,,625.0,-2.149,2.7916,7331.0
69076,139.699959,-27.945944,6.4,15.7,1.2,10.34,53.61,1.85,0.38,0.369,0.023,0.428,6.716,6.44,6.354,F2 IV,,,63.7,2.379,0.9804,7050.0
69077,347.142917,-3.652538,8.59,3.32,0.2,11.03,15.6,1.61,1.78,0.996,0.009,1.132,9.448,8.678,8.514,,,,301.2,1.196,1.4536,4752.0
69078,231.416075,59.7348,7.67,3.95,1.04,-13.0,61.75,0.9,1.08,1.515,0.027,1.644,8.941,7.802,7.504,M5 IV,,,253.2,0.653,1.6708,3771.0
69079,60.10368,32.398727,10.83,3.4,0.91,-133.33,30.36,0.51,2.17,1.069,0.014,1.144,11.742,10.931,10.729,,,,294.1,3.487,0.5372,4583.0
69080,60.713718,-34.933933,7.77,5.84,1.02,-27.15,-5.25,0.3,0.3,0.514,0.016,0.619,8.187,7.818,7.713,G7 V,,,171.2,1.602,1.2912,6326.0
69081,118.90164,-45.471411,10.09,5.32,1.59,58.1,-22.02,1.05,1.24,1.37,0.023,1.504,11.243,10.206,9.954,M6 V,,,188.0,3.72,0.444,4000.0
69082,307.892694,-46.787646,8.61,9.1,1.2,8.94,-41.54,1.32,0.45,1.592,0.012,1.761,9.957,8.761,8.458,M6 III,C,,109.9,3.405,0.57,3660.0
69083,316.82089,-57.232156,7.47,3.48,0.92,-37.06,27.59,1.03,0.92,1.377,0.001,1.43,8.646,7.588,7.342,M8 III,,,287.4,0.178,1.8608,3988.0
69084,188.120921,24.459802,9.31,9.85,1.48,-55.33,-2.13,1.3,1.02,1.726,0.005,1.902,10.769,9.467,9.14,,,,101.5,4.277,0.2212,3482.0
69085,96.906584,22.82493,10.12,4.1,0.2,23.1,-13.1,1.72,1.34,1.625,0.026,1.825,11.516,10.267,9.964,M5 III,,,243.9,3.184,0.6584,3615.0
69086,170.923053,-11.854915,5.87,7.2,2.1,84.2,17.11,0.9,0.3,1.552,0.008,1.68,7.173,6.0,5.716,M8 V,,,138.9,0.157,1.8692,3717.0
69087,223.4184,-14.928447,12.39,20.04,0.98,4.47,57.48,0.63,0.69,1.475,0.016,1.596,13.656,12.532,12.249,M5 V,,,49.9,8.899,-1.6276,3832.0
69088,95.344609,-31.72816,6.85,0.48,0.24,-95.58,-68.83,0.98,2.29,1.587,0.013,1.751,8.196,6.989,6.691,M8 V,,,2083.3,,,3667.0
69089,162.447442,-6.911342,9.48,3.74,0.2,88.13,107.12,1.03,0.94,0.486,0.02,0.544,9.902,9.53,9.43,,,,267.4,2.344,0.9944,6453.0
69090,253.613991,-9.706424,8.76,6.07,0.54,-18.89,92.23,1.98,1.89,1.368,0.014,1.535,9.945,8.891,8.622,M0 III,,,164.7,2.676,0.8616,4003.0
69091,300.311421,-56.397614,8.23,10.16,1.28,50.9,-109.4,1.83,0.3,0.151,0.031,0.163,8.367,8.247,8.218,,,,98.4,3.264,0.6264,8563.0
69092,280.953218,-9.463148,8.41,6.18,0.44,-56.56,-64.85,0.87,1.78,1.559,0.01,1.793,9.726,8.544,8.263,M6 V,,,161.8,2.365,0.986,3707.0
69093,149.693707,23.033891,7.22,14.34,0.85,46.61,-10.62,1.6,2.26,1.357,0.005,1.485,8.362,7.338,7.072,,,X,69.7,3.003,0.7308,4022.0
69094,225.556019,84.645124,9.63,2.99,0.65,133.74,-69.81,0.91,1.58,0.563,0.004,0.587,10.11,9.676,9.594,F5 V,,,334.4,2.008,1.1288,6116.0
69095,175.434059,50.204639,6.96,2.76,1.14,44.71,-33.13,0.83,1.59,1.49,0.005,1.627,8.257,7.085,6.809,M4 V,,,362.3,-0.835,2.266,3809.0
69096,308.344518,-47.918087,8.25,3.86,0.4,-21.91,59.94,0.58,1.77,0.6,0.013,0.661,8.772,8.285,8.186,G2 V,,,259.1,1.183,1.4588,5968.0
69097,303.533131,-49.191595,9.78,1.01,1.62,47.06,-24.48,0.51,1.15,1.348,0.023,1.465,10.943,9.908,9.656,M0 IV,,,990.1,-0.198,2.0112,4037.0
69098,197.783359,54.888994,6.19,8.98,1.32,-49.46,30.96,0.32,0.87,0.234,0.007,0.207,6.395,6.218,6.162,A9 Ib,,,111.4,0.956,1.5496,7909.0
69099,122.395393,-29.380751,6.02,4.65,1.71,-37.63,65.82,1.18,1.0,1.388,0.019,1.499,7.167,6.144,5.887,,,O,215.1,-0.643,2.1892,3970.0
69100,109.554495,-25.981999,7.61,22.23,1.3,8.11,-5.94,0.3,2.4,1.429,0.016,1.606,8.834,7.736,7.47,,,,45.0,4.345,0.194,3904.0
69101,304.745538,-49.399881,9.2,2.53,0.4,-30.94,-102.2,2.3,1.7,1.598,0.027,1.783,10.565,9.34,9.046,,,,395.3,1.216,1.4456,3652.0
69102,274.281803,-60.697567,8.2,7.19,0.84,-15.37,21.32,1.85,1.46,0.486,0.04,0.61,8.608,8.237,8.155,,,,139.1,2.484,0.9384,6453.0
69103,339.722057,-27.572867,7.22,20.65,0.45,20.13,-40.18,0.38,1.74,1.352,0.013,1.473,8.375,7.333,7.087,,M,G,48.4,3.795,0.414,4031.0
69104,5.479741,-61.268718,12.5,16.13,0.83,-49.6,-35.19,0.53,0.62,1.389,0.01,1.53,13.688,12.631,12.366,M1 V,,,62.0,8.538,-1.4832,3968.0
69105,147.23162,21.539365,9.03,6.3,0.2,-10.96,-20.05,0.38,1.01,1.531,0.004,1.744,10.314,9.153,8.869,M9 V,,,158.7,3.027,0.7212,3747.0
69106,148.181547,9.845436,9.12,15.24,1.26,-48.62,81.62,1.57,1.05,1.569,0.017,1.682,10.452,9.25,8.972,M6 V,,,65.6,5.035,-0.082,3693.0
69107,262.761641,43.471791,10.33,12.2,1.28,4.78,-17.27,1.27,1.42,1.34,0.005,1.485,11.457,10.468,10.198,M7 II,,,82.0,5.762,-0.3728,4051.0
69108,333.553793,-64.419065,6.01,3.24,1.13,6.47,34.8,1.22,1.21,1.749,0.021,1.939,7.508,6.17,5.826,M9 III,,,308.6,-1.437,2.5068,3454.0
69109,281.843579,-22.392408,5.36,5.41,1.56,-46.98,-13.16,2.75,1.2,0.152,0.019,0.229,5.488,5.382,5.351,,,,184.8,-0.974,2.3216,8554.0
69110,103.473178,8.983079,9.0,3.46,0.96,-25.53,-29.43,1.81,0.46,0.422,0.012,0.407,9.347,9.056,8.964,F3 III,,G,289.0,1.695,1.254,6765.0
69111,230.213359,1.784307,3.61,11.33,0.42,-17.21,86.8,1.3,1.43,1.492,0.022,1.619,4.898,3.743,3.435,,,,88.3,-1.119,2.3796,3806.0
69112,14.256348,-32.018473,7.28,4.3,0.44,-226.61367112878776,51.65721748971173,1.19,2.66,1.537,0.006,1.711,8.618,7.42,7.123,,,,232.6,0.447,1.7532,3739.0
69113,117.292464,-45.687598,10.28,3.79,1.2,-52.55,7.14,0.62,1.17,1.703,0.014,1.904,11.715,10.434,10.112,,,,263.9,3.173,0.6628,3512.0
69114,269.705959,-6.466544,9.67,10.72,0.99,22.7,40.09,1.8,1.44,1.582,0.013,1.74,11.024,9.812,9.495,,,,93.3,4.821,0.0036,3674.0
69115,231.526518,-56.5568,10.0,17.44,1.17,46.78,-85.88,1.69,1.21,1.057,0.026,1.152,10.901,10.097,9.899,K4 V,,,57.3,6.208,-0.5512,4610.0
69116,104.214791,-6.463739,8.62,8.58,0.92,-127.2,-17.45,1.15,1.12,1.467,0.004,1.616,9.893,8.758,8.478,M5 V,,,116.6,3.287,0.6172,3844.0
69117,321.326353,-65.202136,8.27,0.24,1.78,-38.55,79.37,1.28,1.48,0.685,0.041,0.826,8.866,8.339,8.202,,,G,4166.7,,,5653.0
69118,240.627715,4.946458,8.7,13.51,1.61,28.3,-29.16,1.5,0.64,1.685,0.019,1.933,10.118,8.868,8.536,,,,74.0,4.353,0.1908,3535.0
69119,57.049102,-25.197523,9.44,26.81,1.36,69.89,30.09,0.92,1.1,1.528,0.027,1.676,10.745,9.573,9.271,M6 V,,G,37.3,6.581,-0.7004,3752.0
69120,152.602216,9.546114,10.36,5.56,0.82,-58.06,6.6,0.98,1.44,1.269,0.022,1.382,11.458,10.469,10.235,M1 V,,,179.9,4.085,0.298,4178.0
69121,99.252285,23.009151,9.68,4.59,1.08,-35.31,-80.06,1.07,1.16,1.433,0.015,1.488,10.9,9.821,9.532,M1 V,S,,217.9,2.989,0.7364,3897.0
69122,93.112049,-56.018237,8.34,55.42,0.36,-29.75,-54.52,0.3,0.4,1.173,0.024,1.317,9.365,8.44,8.23,,,,18.0,7.058,-0.8912,4362.0
69123,10.327691,20.127552,7.17,1.7,1.58,71.25,-5.7,1.4,1.15,1.21,0.025,1.363,8.225,7.29,7.042,M2 V,R,,588.2,-1.678,2.6032,4289.0
69124,334.483936,-45.37778,7.75,2.45,1.8,-87.05,0.58,1.51,0.7,1.471,0.043,1.654,9.0,7.861,7.601,M2 V,,,408.2,-0.304,2.0536,3838.0
69125,238.43564,28.532959,12.5,5.05,1.68,24.5,-12.63,1.44,2.06,1.412,0.013,1.406,13.663,12.608,12.35,M4 III,,G,198.0,6.016,-0.4744,3931.0
69126,53.131484,65.846093,6.28,3.86,0.92,-45.58,6.47,1.56,0.48,0.388,0.016,0.397,6.603,6.304,6.238,F3 V,,,259.1,-0.787,2.2468,6945.0
69127,62.415729,47.549407,10.18,17.56,1.04,-46.15,16.42,1.64,2.71,1.522,0.03,1.697,11.482,10.3,10.013,,,,56.9,6.403,-0.6292,3761.0
69128,97.362288,-58.903883,9.73,3.14,0.62,-50.09,3.54,2.07,1.64,0.231,0.019,0.256,9.937,9.748,9.706,A5 II,,,318.5,2.215,1.046,7931.0
69129,41.723304,-20.173819,11.69,3.87,1.35,-30.05,10.95,2.22,1.32,1.696,0.01,1.863,13.1,11.853,11.522,M1 V,,,258.4,4.629,0.0804,3521.0
69130,3.001791,-55.780526,12.47,16.19,1.02,101.98,27.44,1.48,0.63,1.515,0.002,1.74,13.77,12.59,12.327,,,,61.8,8.516,-1.4744,3771.0
69131,236.340205,16.369037,6.83,0.43,2.1,-45.22,-105.63,0.62,0.77,1.578,0.004,1.749,8.184,6.982,6.67,,,G,2325.6,,,3680.0
69132,180.02465,11.918399,7.18,12.41,0.77,-13.35,-32.46,0.66,1.61,1.631,0.012,1.713,8.566,7.323,7.017,M9 V,,,80.6,2.649,0.8724,3607.0
69133,10.053861,-13.258949,8.54,3.93,0.62,-1.95,-17.51,1.48,1.41,1.601,0.01,1.673,9.874,8.683,8.38,M3 V,,,254.5,1.512,1.3272,3648.0
69134,165.891195,-47.535023,12.5,0.69,1.07,-1.19,52.55,0.9,0.86,0.568,0.021,0.498,12.977,12.549,12.456,G7 V,,,1449.3,1.694,1.2544,6096.0
69135,171.876931,-76.674813,10.49,0.47,1.2,67.71,32.63,1.68,1.41,1.535,0.018,1.8,11.77,10.618,10.34,M3 V,,,2127.7,,,3742.0
69136,44.996826,32.671107,10.42,10.75,1.24,-5.21,-2.47,1.82,1.09,1.675,0.007,1.953,11.85,10.553,10.249,,,,93.0,5.577,-0.2988,3548.0
69137,155.502945,34.883937,6.28,32.77,0.95,12.4,10.4,0.75,2.38,1.728,0.015,1.871,7.727,6.455,6.118,,P,,30.5,3.857,0.3892,3480.0
69138,356.340176,-5.378808,8.07,0.17,0.73,-97.1,-3.84,1.28,0.35,1.593,0.013,1.832,9.443,8.21,7.905,M5 V,,,5882.4,,,3659.0
69139,320.994086,-37.19573,7.25,7.36,1.05,3.05,50.66,1.66,1.14,1.528,0.02,1.54,8.563,7.391,7.097,M4 V,,,135.9,1.584,1.2984,3752.0
69140,230.737102,-50.798944,6.76,7.45,1.91,-472.85019808480706,215.3103300317165,1.67,0.68,1.461,0.018,1.575,8.001,6.888,6.614,M6 V,,,134.2,1.121,1.4836,3853.0
69141,258.824999,-16.256395,7.54,4.39,0.78,-5.47,-56.12,1.62,0.98,1.462,0.022,1.573,8.783,7.663,7.408,,,,227.8,0.752,1.6312,3852.0
69142,204.698578,-2.13761,6.5,8.52,0.2,-37.4,81.09,1.04,1.36,-0.149,0.012,-0.113,6.414,6.48,6.499,B3 V,,,117.4,1.152,1.4712,12469.0
69143,291.183373,59.559373,7.88,11.16,0.67,-49.72,-39.06,0.3,0.85,1.565,0.018,1.659,9.225,8.001,7.724,M7 II,,,89.6,3.118,0.6848,3698.0
69144,274.500155,3.158578,9.38,19.58,0.8,-5.5,4.49,0.3,0.9,1.579,0.017,1.711,10.734,9.532,9.213,M7 V,,,51.1,5.839,-0.4036,3678.0
69145,197.05893,-35.43202,9.81,8.55,0.98,-59.56,51.2,0.31,1.12,1.579,0.007,1.805,11.18,9.964,9.652,M6 V,,,117.0,4.47,0.144,3678.0
69146,19.881615,4.806643,10.24,16.97,1.38,-6.95,45.27,1.35,1.05,0.27,0.004,0.271,10.467,10.26,10.21,A2 V,S,,58.9,6.388,-0.6232,7658.0
69147,177.001414,-1.173698,6.14,7.89,1.45,9.1,-55.42,0.74,0.3,0.661,0.031,0.716,6.68,6.196,6.067,G6 II,,,126.7,0.625,1.682,5739.0
69148,278.866284,26.85044,9.69,2.87,0.34,60.4,21.8,1.02,1.7,1.369,0.014,1.382,10.817,9.825,9.548,M2 V,,,348.4,1.979,1.1404,4002.0
69149,263.048355,56.762205,10.26,3.64,0.37,30.56,35.65,2.03,1.34,0.371,0.013,0.318,10.609,10.299,10.219,F7 IV,,G,274.7,3.066,0.7056,7039.0
69150,77.21371,-1.722132,7.96,1.66,0.89,27.82,24.43,1.21,0.45,1.315,0.016,1.407,9.096,8.071,7.828,M4 V,,,602.4,-0.939,2.3076,4095.0
69151,21.772051,0.254009,8.12,10.81,0.73,21.54,-56.28,1.62,1.33,1.143,0.007,1.236,9.137,8.206,8.008,K9 II,,,92.5,3.289,0.6164,4424.0
69152,266.043236,56.334761,8.21,6.37,1.06,36.19,29.65,0.95,1.75,1.472,0.028,1.649,9.443,8.329,8.092,,S,,157.0,2.231,1.0396,3836.0
69153,334.090804,4.815788,10.79,4.52,1.81,105.62,17.76,1.94,1.35,0.393,0.027,0.411,11.125,10.82,10.758,F9 V,,C,221.2,4.066,0.3056,6918.0
69154,71.605672,62.317982,7.92,1.58,1.14,-28.31,60.1,1.19,1.28,1.341,0.02,1.441,9.038,8.032,7.783,,,,632.9,-1.087,2.3668,4049.0
69155,112.745238,-15.336618,11.4,18.53,1.37,42.89,-89.22,1.23,0.54,0.827,0.016,0.915,12.083,11.476,11.313,,,C,54.0,7.739,-1.1636,5201.0
69156,158.5794,44.706426,7.25,10.97,1.18,-34.87,27.08,0.57,0.78,1.379,0.023,1.466,8.45,7.37,7.106,M9 V,,,91.2,2.451,0.9516,3985.0
69157,237.193771,-16.750732,7.57,11.79,1.21,14.82,-29.35,1.62,1.4,0.473,0.011,0.575,7.964,7.614,7.499,G0 V,,G,84.8,2.928,0.7608,6514.0
69158,121.803139,11.661563,6.29,26.96,0.66,27.55,-89.0,1.09,0.76,0.753,0.02,0.827,6.923,6.345,6.219,K1 V,,,37.1,3.444,0.5544,5427.0
69159,268.75614,-51.955381,10.28,23.03,0.65,42.44,-99.87,0.84,1.08,0.688,0.022,0.745,10.854,10.333,10.206,G8 V,,,43.4,7.091,-0.9044,5643.0
69160,13.595407,44.790248,9.27,3.15,1.54,-3.22,-60.09,0.3,0.44,0.96,0.012,0.992,10.085,9.367,9.188,K7 Ib,,,317.5,1.762,1.2272,4841.0
69161,123.372069,46.432538,5.19,0.93,1.01,4.81,-37.76,1.49,0.3,1.452,0.007,1.544,6.413,5.341,5.038,M3 IV,,,1075.3,-4.968,3.9192,3867.0
69162,191.731875,32.866477,10.48,4.41,0.84,-92.76,-9.79,0.45,1.28,1.323,0.029,1.527,11.574,10.59,10.325,,D,,226.8,3.702,0.4512,4081.0
69163,274.022814,-0.172433,8.73,11.94,1.35,21.56,6.78,1.35,1.39,1.538,0.004,1.638,10.052,8.871,8.584,M9 Ib,,V,83.8,4.115,0.286,3737.0
69164,203.130668,32.957657,8.27,20.81,1.38,76.69,-27.41,1.7,0.9,1.341,0.035,1.486,9.411,8.386,8.125,,,,48.1,4.861,-0.0124,4049.0
69165,172.689482,-29.83448,8.86,6.46,1.44,-107.53,74.37,1.05,0.3,1.029,0.014,1.106,9.755,8.945,8.752,K7 V,,,154.8,2.911,0.7676,4674.0
69166,6.326858,-9.310479,8.59,22.54,1.08,-106.97,16.12,0.37,1.3,1.69,0.005,1.883,10.028,8.753,8.425,M6 V,,,44.4,5.355,-0.21,3528.0
69167,97.711218,-29.856304,7.15,9.35,1.33,-104.05,-60.84,1.61,1.83,1.653,0.029,1.853,8.536,7.295,7.0,M4 Ib,S,,107.0,2.004,1.1304,3577.0
69168,207.43967,-58.704424,9.73,20.9,0.73,2.89,18.24,1.47,1.06,0.282,0.014,0.306,9.955,9.757,9.704,F1 V,,X,47.8,6.331,-0.6004,7578.0
69169,48.362737,-42.304598,7.27,6.55,2.06,-29.0,-36.09,1.32,0.3,0.461,0.011,0.559,7.64,7.319,7.208,F9 V,,X,152.7,1.351,1.3916,6571.0
69170,321.550405,49.199829,8.67,28.14,0.95,98.38,90.57,2.28,1.16,1.507,0.024,1.753,9.96,8.814,8.503,M9 V,,,35.5,5.917,-0.4348,3783.0
69171,342.443319,11.870927,10.87,7.63,0.37,34.01,69.01,0.54,0.61,1.601,0.026,1.774,12.204,11.006,10.699,,,,131.1,5.283,-0.1812,3648.0
69172,132.4374,-69.671629,7.82,7.52,1.85,-29.18,11.61,0.94,0.54,1.522,0.002,1.722,9.12,7.953,7.652,M3 V,,,133.0,2.201,1.0516,3761.0
69173,118.197844,80.058404,10.05,15.32,1.27,6.13,-31.72,0.63,1.44,1.267,0.022,1.308,11.138,10.162,9.92,M8 V,,V,65.3,5.976,-0.4584,4181.0
69174,223.638738,24.888878,7.99,3.04,1.11,52.2,70.18,0.3,2.34,1.331,0.036,1.492,9.144,8.115,7.877,M8 III,,,328.9,0.404,1.7704,4067.0
69175,147.82515,-73.583886,9.2,0.1,1.35,-14.89,34.85,2.57,1.75,0.606,0.03,0.638,9.716,9.253,9.151,G9 Ia,C,,10000.0,,,5944.0
69176,0.936875,12.11185,10.41,1.36,2.03,54.21,18.19,0.86,2.71,1.465,0.015,1.603,11.666,10.524,10.269,,,O,735.3,1.078,1.5008,3847.0
69177,191.909343,-13.930637,9.66,0.41,0.7,-8.91,12.49,2.36,0.3,1.649,0.025,1.73,11.047,9.796,9.501,M4 V,,,2439.0,,,3582.0
69178,133.070422,86.476217,7.15,16.36,1.71,-25.68,-24.11,1.87,0.96,0.363,0.014,0.375,7.457,7.186,7.096,F3 V,,X,61.1,3.219,0.6444,7084.0
69179,302.107733,-66.901607,9.99,7.51,0.2,-15.85,5.15,0.34,1.2,1.478,0.001,1.674,11.231,10.118,9.841,M1 II,,,133.2,4.368,0.1848,3827.0
69180,224.883038,30.291124,10.66,16.22,0.62,-32.42,86.95,1.47,1.49,0.026,0.026,0.086,10.676,10.679,10.662,F8 V,,G,61.7,6.71,-0.752,9812.0
69181,110.461595,35.678409,7.64,11.37,1.08,86.97,-72.04,1.67,1.41,1.076,0.01,1.113,8.562,7.752,7.523,K8 V,,O,88.0,2.919,0.7644,4567.0
69182,1.01012,-25.556942,10.2,7.25,0.2,-28.94,5.64,0.78,1.08,0.897,0.034,0.997,10.96,10.281,10.105,K8 V,,,137.9,4.502,0.1312,5004.0
69183,253.617079,-63.265105,8.35,11.94,1.3,43.08,13.21,1.24,1.01,1.446,0.016,1.504,9.559,8.486,8.213,M0 V,S,,83.8,3.735,0.438,3877.0
69184,186.327131,31.838483,9.25,18.28,1.84,16.58,39.42,2.24,1.67,1.245,0.007,1.413,10.289,9.366,9.141,K1 V,,O,54.7,5.56,-0.292,4222.0
69185,262.505079,50.557613,9.25,1.99,1.39,-26.88,38.03,2.29,1.08,1.565,0.001,1.76,10.595,9.407,9.097,M5 IV,,,502.5,0.744,1.6344,3698.0
69186,256.310055,-49.228325,12.5,32.93,0.2,-39.3,-12.23,1.18,2.4,0.837,0.021,0.907,13.173,12.574,12.429,,,,30.4,10.088,-2.1032,5172.0
69187,98.600063,13.851664,11.17,0.1,0.67,79.17,-38.23,1.18,1.53,0.62,0.009,0.773,11.695,11.217,11.11,F1 IV,P,,10000.0,,,5890.0
69188,349.076703,-77.937815,7.7,7.25,0.35,-83.35,70.12,1.32,1.33,1.378,0.042,1.493,8.871,7.817,7.561,M6 IV,C,G,137.9,2.002,1.1312,3987.0
69189,168.015775,51.168443,9.01,10.15,1.06,-20.74,-82.51,1.16,1.29,1.533,0.003,1.678,10.32,9.156,8.855,M4 V,,G,98.5,4.042,0.3152,3745.0
69190,245.229285,34.24098,8.27,5.8,0.49,15.27,-26.61,2.13,0.97,1.079,0.001,1.161,9.207,8.374,8.16,,,,172.4,2.087,1.0972,4561.0
